"","target","synset","pos","t","gold","X","ref","synset_def","synset_size","synset_words","wn_pos"
"23","awful","frightful.s.02","adj",1800,0,22,"tremendous","extreme in degree or extent or amount or impact",4,"frightful/terrible/awful/tremendous","s"
"24","awful","frightful.s.02","adj",1800,0,20,"frightful","extreme in degree or extent or amount or impact",4,"frightful/terrible/awful/tremendous","s"
"25","awful","frightful.s.02","adj",1800,0,21,"terrible","extreme in degree or extent or amount or impact",4,"frightful/terrible/awful/tremendous","s"
"26","awful","nasty.a.01","adj",1800,1,18,"nasty","offensive or even /of persons/ malicious",2,"nasty/awful","a"
"27","broadcast","air.v.03","v",1920,1,80,"beam","broadcast over the airwaves/ as in radio or television",5,"air/send/broadcast/beam/transmit","v"
"28","broadcast","air.v.03","v",1920,1,81,"transmit","broadcast over the airwaves/ as in radio or television",5,"air/send/broadcast/beam/transmit","v"
"29","broadcast","air.v.03","v",1920,1,78,"air","broadcast over the airwaves/ as in radio or television",5,"air/send/broadcast/beam/transmit","v"
"30","broadcast","air.v.03","v",1920,1,79,"send","broadcast over the airwaves/ as in radio or television",5,"air/send/broadcast/beam/transmit","v"
"31","broadcast","circulate.v.02","v",1920,0,82,"circulate","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"32","broadcast","circulate.v.02","v",1920,0,85,"distribute","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"33","broadcast","circulate.v.02","v",1920,0,86,"disseminate","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"34","broadcast","circulate.v.02","v",1920,0,83,"circularize","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"35","broadcast","circulate.v.02","v",1920,0,84,"circularise","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"36","broadcast","circulate.v.02","v",1920,0,89,"diffuse","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"37","broadcast","circulate.v.02","v",1920,0,90,"disperse","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"38","broadcast","circulate.v.02","v",1920,0,87,"propagate","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"39","broadcast","circulate.v.02","v",1920,0,88,"spread","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"40","broadcast","circulate.v.02","v",1920,0,91,"pass_around","cause to become widely known",11,"circulate/circularize/circularise/distribute/disseminate/propagate/broadcast/spread/diffuse/disperse/pass_around","v"
"41","call","address.v.06","v",1890,0,108,"address","greet/ as with a prescribed form/ title/ or name",2,"address/call","v"
"42","call","bid.v.04","v",1890,0,110,"bid","make a demand/ as for a card or a suit or a show of hands",2,"bid/call","v"
"43","call","call.v.03","v",1890,1,93,"telephone","get or try to get into communication /with someone/ by telephone",5,"call/telephone/call_up/phone/ring","v"
"44","call","call.v.03","v",1890,1,95,"phone","get or try to get into communication /with someone/ by telephone",5,"call/telephone/call_up/phone/ring","v"
"45","call","call.v.03","v",1890,1,96,"ring","get or try to get into communication /with someone/ by telephone",5,"call/telephone/call_up/phone/ring","v"
"46","call","call.v.03","v",1890,1,94,"call_up","get or try to get into communication /with someone/ by telephone",5,"call/telephone/call_up/phone/ring","v"
"47","call","call.v.05","v",1890,0,105,"send_for","order/ request/ or command to come",2,"call/send_for","v"
"48","call","call.v.14","v",1890,0,109,"call_in","demand payment of /a loan/",2,"call/call_in","v"
"49","call","call.v.16","v",1890,0,111,"call_off","give the calls /to the dancers/ for a square dance",2,"call/call_off","v"
"50","call","name.v.01","v",1890,0,92,"name","assign a specified /usually proper/ proper name to",2,"name/call","v"
"51","call","predict.v.01","v",1890,0,112,"predict","make a prediction about/ tell in advance",7,"predict/foretell/prognosticate/call/forebode/anticipate/promise","v"
"52","call","predict.v.01","v",1890,0,113,"foretell","make a prediction about/ tell in advance",7,"predict/foretell/prognosticate/call/forebode/anticipate/promise","v"
"53","call","predict.v.01","v",1890,0,116,"anticipate","make a prediction about/ tell in advance",7,"predict/foretell/prognosticate/call/forebode/anticipate/promise","v"
"54","call","predict.v.01","v",1890,0,117,"promise","make a prediction about/ tell in advance",7,"predict/foretell/prognosticate/call/forebode/anticipate/promise","v"
"55","call","predict.v.01","v",1890,0,114,"prognosticate","make a prediction about/ tell in advance",7,"predict/foretell/prognosticate/call/forebode/anticipate/promise","v"
"56","call","predict.v.01","v",1890,0,115,"forebode","make a prediction about/ tell in advance",7,"predict/foretell/prognosticate/call/forebode/anticipate/promise","v"
"57","call","shout.v.02","v",1890,0,97,"shout","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"58","call","shout.v.02","v",1890,0,98,"shout_out","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"59","call","shout.v.02","v",1890,0,99,"cry","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"60","call","shout.v.02","v",1890,0,100,"yell","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"61","call","shout.v.02","v",1890,0,101,"scream","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"62","call","shout.v.02","v",1890,0,102,"holler","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"63","call","shout.v.02","v",1890,0,103,"hollo","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"64","call","shout.v.02","v",1890,0,104,"squall","utter a sudden loud cry",9,"shout/shout_out/cry/call/yell/scream/holler/hollo/squall","v"
"65","call","visit.v.03","v",1890,0,107,"call_in","pay a brief visit",3,"visit/call_in/call","v"
"66","call","visit.v.03","v",1890,0,106,"visit","pay a brief visit",3,"visit/call_in/call","v"
"67","fatal","black.s.06","adj",1800,1,31,"fateful","/of events/ having extremely unfortunate or dire consequences/ bringing ruin",5,"black/calamitous/disastrous/fatal/fateful","s"
"68","fatal","black.s.06","adj",1800,1,28,"black","/of events/ having extremely unfortunate or dire consequences/ bringing ruin",5,"black/calamitous/disastrous/fatal/fateful","s"
"69","fatal","black.s.06","adj",1800,1,29,"calamitous","/of events/ having extremely unfortunate or dire consequences/ bringing ruin",5,"black/calamitous/disastrous/fatal/fateful","s"
"70","fatal","black.s.06","adj",1800,1,30,"disastrous","/of events/ having extremely unfortunate or dire consequences/ bringing ruin",5,"black/calamitous/disastrous/fatal/fateful","s"
"71","fatal","fatal.s.04","adj",1800,-1,32,"fateful","controlled or decreed by fate/ predetermined",2,"fatal/fateful","s"
"72","fatal","fateful.s.01","adj",1800,0,27,"fateful","having momentous consequences/ of decisive importance",2,"fateful/fatal","s"
"73","gay","brave.s.03","adj",1950,-1,41,"braw","brightly colored and showy",3,"brave/braw/gay","s"
"74","gay","brave.s.03","adj",1950,-1,40,"brave","brightly colored and showy",3,"brave/braw/gay","s"
"75","gay","cheery.s.01","adj",1950,-1,34,"sunny","bright and pleasant/ promoting a feeling of cheer",3,"cheery/gay/sunny","s"
"76","gay","cheery.s.01","adj",1950,-1,33,"cheery","bright and pleasant/ promoting a feeling of cheer",3,"cheery/gay/sunny","s"
"77","gay","gay.s.02","adj",1950,-1,35,"jocund","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s"
"78","gay","gay.s.02","adj",1950,-1,38,"merry","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s"
"79","gay","gay.s.02","adj",1950,-1,39,"mirthful","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s"
"80","gay","gay.s.02","adj",1950,-1,36,"jolly","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s"
"81","gay","gay.s.02","adj",1950,-1,37,"jovial","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s"
"82","gay","gay.s.05","adj",1950,-1,42,"festal","offering fun and gaiety",4,"gay/festal/festive/merry","s"
"83","gay","gay.s.05","adj",1950,-1,43,"festive","offering fun and gaiety",4,"gay/festal/festive/merry","s"
"84","gay","gay.s.05","adj",1950,-1,44,"merry","offering fun and gaiety",4,"gay/festal/festive/merry","s"
"85","gay","gay.s.06","adj",1950,1,45,"queer","homosexual or arousing homosexual desires",3,"gay/queer/homophile","s"
"86","gay","gay.s.06","adj",1950,1,46,"homophile","homosexual or arousing homosexual desires",3,"gay/queer/homophile","s"
"87","guy","guy.n.01","n",1850,1,55,"cat","an informal term for a youth or man",4,"guy/cat/hombre/bozo","n"
"88","guy","guy.n.01","n",1850,1,56,"hombre","an informal term for a youth or man",4,"guy/cat/hombre/bozo","n"
"89","guy","guy.n.01","n",1850,1,57,"bozo","an informal term for a youth or man",4,"guy/cat/hombre/bozo","n"
"90","guy","guy.n.02","n",1850,0,58,"Guy","an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day",1,"Guy","n"
"91","guy","guy.n.03","n",1850,0,60,"guy_wire","a cable/ wire/ or rope that is used to brace something /especially a tent/",4,"guy/guy_cable/guy_wire/guy_rope","n"
"92","guy","guy.n.03","n",1850,0,61,"guy_rope","a cable/ wire/ or rope that is used to brace something /especially a tent/",4,"guy/guy_cable/guy_wire/guy_rope","n"
"93","guy","guy.n.03","n",1850,0,59,"guy_cable","a cable/ wire/ or rope that is used to brace something /especially a tent/",4,"guy/guy_cable/guy_wire/guy_rope","n"
"94","monitor","admonisher.n.01","n",1930,0,63,"admonisher","someone who gives a warning so that a mistake can be avoided",3,"admonisher/monitor/reminder","n"
"95","monitor","admonisher.n.01","n",1930,0,64,"reminder","someone who gives a warning so that a mistake can be avoided",3,"admonisher/monitor/reminder","n"
"96","monitor","monitor.n.03","n",1930,0,65,"Monitor","an ironclad vessel built by Federal forces to do battle with the Merrimac",1,"Monitor","n"
"97","monitor","monitor.n.04","n",1930,1,66,"monitoring_device","display produced by a device that takes signals and displays them on a television screen or a computer monitor",2,"monitor/monitoring_device","n"
"98","monitor","monitor.n.07","n",1930,0,67,"monitor_lizard","any of various large tropical carnivorous lizards of Africa and Asia and Australia/ fabled to warn of crocodiles",3,"monitor/monitor_lizard/varan","n"
"99","monitor","monitor.n.07","n",1930,0,68,"varan","any of various large tropical carnivorous lizards of Africa and Asia and Australia/ fabled to warn of crocodiles",3,"monitor/monitor_lizard/varan","n"
"100","monitor","proctor.n.01","n",1930,0,62,"proctor","someone who supervises /an examination/",2,"proctor/monitor","n"
"101","nice","courteous.s.01","adj",1890,0,53,"courteous","exhibiting courtesy and politeness",3,"courteous/gracious/nice","s"
"102","nice","courteous.s.01","adj",1890,0,54,"gracious","exhibiting courtesy and politeness",3,"courteous/gracious/nice","s"
"103","nice","dainty.s.04","adj",1890,-1,52,"squeamish","excessively fastidious and easily disgusted",5,"dainty/nice/overnice/prissy/squeamish","s"
"104","nice","dainty.s.04","adj",1890,-1,51,"prissy","excessively fastidious and easily disgusted",5,"dainty/nice/overnice/prissy/squeamish","s"
"105","nice","dainty.s.04","adj",1890,-1,49,"dainty","excessively fastidious and easily disgusted",5,"dainty/nice/overnice/prissy/squeamish","s"
"106","nice","dainty.s.04","adj",1890,-1,50,"overnice","excessively fastidious and easily disgusted",5,"dainty/nice/overnice/prissy/squeamish","s"
"107","nice","decent.s.01","adj",1890,-1,47,"decent","socially or conventionally correct/ refined or virtuous",2,"decent/nice","s"
"108","nice","nice.s.03","adj",1890,-1,48,"skillful","done with delicacy and skill",2,"nice/skillful","s"
"109","record","criminal_record.n.01","n",1920,0,77,"criminal_record","a list of crimes for which an accused person has been previously convicted",2,"criminal_record/record","n"
"110","record","phonograph_record.n.01","n",1920,1,70,"phonograph_recording","sound recording consisting of a disk with a continuous groove/ used to reproduce music by rotating while a phonograph needle tracks in the groove",6,"phonograph_record/phonograph_recording/record/disk/disc/platter","n"
"111","record","phonograph_record.n.01","n",1920,1,71,"disk","sound recording consisting of a disk with a continuous groove/ used to reproduce music by rotating while a phonograph needle tracks in the groove",6,"phonograph_record/phonograph_recording/record/disk/disc/platter","n"
"112","record","phonograph_record.n.01","n",1920,1,72,"disc","sound recording consisting of a disk with a continuous groove/ used to reproduce music by rotating while a phonograph needle tracks in the groove",6,"phonograph_record/phonograph_recording/record/disk/disc/platter","n"
"113","record","phonograph_record.n.01","n",1920,1,69,"phonograph_record","sound recording consisting of a disk with a continuous groove/ used to reproduce music by rotating while a phonograph needle tracks in the groove",6,"phonograph_record/phonograph_recording/record/disk/disc/platter","n"
"114","record","phonograph_record.n.01","n",1920,1,73,"platter","sound recording consisting of a disk with a continuous groove/ used to reproduce music by rotating while a phonograph needle tracks in the groove",6,"phonograph_record/phonograph_recording/record/disk/disc/platter","n"
"115","record","record.n.04","n",1920,0,74,"track_record","the sum of recognized accomplishments",2,"record/track_record","n"
"116","record","record.n.05","n",1920,0,75,"record_book","a compilation of the known facts regarding something or someone",3,"record/record_book/book","n"
"117","record","record.n.05","n",1920,0,76,"book","a compilation of the known facts regarding something or someone",3,"record/record_book/book","n"
