"","ref","target","X","synset","t","pos","prov","syn_def","synset_size","synset_words","wn_pos","gold","freq.x","freq.y","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"17","cheery","gay","75","cheery.s.01","1950","adj","HW","bright and pleasant promoting a feeling of cheer","3","['cheery', 'gay', 'sunny']","s","-1","312219","3117.5","2","1","3","1","1","0","0.188120404374188","-0.7"
"18","dainty","nice","103","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","4077","5","5","2","2","1","0","0.31037609170568","-0.357575757575757"
"19","decent","nice","107","decent.s.01","1890","adj","HW","socially or conventionally correct refined or virtuous","2","['decent', 'nice']","s","-1","494997.5","80667.5","3","1","2","2","0","0","0.311824313900386","0.336363636363636"
"20","dire","awful","12","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","36615.5","2","2","2","2",NA,NA,NA,NA
"21","direful","awful","13","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","688","2","1","2","1",NA,NA,NA,NA
"22","disastrous","fatal","69","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","42195.5","3","1","2","1","0","1","0.0373860734684987","-0.9"
"23","disc","record","113","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","69069.5","2","1","6","4",NA,NA,NA,NA
"24","disk","record","112","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","358551.5","2","3","6","2",NA,NA,NA,NA
"25","dread","awful","14","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","45401","2","3","2","1","0","0","0.130912854298991","-0.394117647058824"
"26","dreaded","awful","15","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","19008","2","2","2","1","0","0","0.445629657953608","-0.221978021978022"
"27","dreadful","awful","7","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","45108","1","2","2","3","0","0","0.154122469896848","-0.373529411764706"
"28","dreadful","awful","16","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","45108","2","1","2","3","0","0","0.154122469896848","-0.373529411764706"
"29","fateful","fatal","70","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","7626","3","3","2","4",NA,NA,NA,NA
"30","fateful","fatal","71","fatal.s.04","1800","adj","HW","controlled or decreed by fate predetermined","2","['fatal', 'fateful']","s","-1","109247.5","7626","4","4","2","4",NA,NA,NA,NA
"31","fearful","awful","17","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","44763","2","2","2","2","0","1","0.000404350840545471","-0.776470588235294"
"32","fearsome","awful","18","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","1168","2","1","2","1",NA,NA,NA,NA
"33","festal","gay","82","gay.s.05","1950","adj","HW","offering fun and gaiety","4","['gay', 'festal', 'festive', 'merry']","s","-1","312219","598","6","1","3","1",NA,NA,NA,NA
"34","festive","gay","83","gay.s.05","1950","adj","HW","offering fun and gaiety","4","['gay', 'festal', 'festive', 'merry']","s","-1","312219","5191.5","6","1","3","1",NA,NA,NA,NA
"35","frightening","awful","19","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","25222","2","4","2","1","1","0","0.284756979865294","0.6"
"36","hombre","guy","88","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","1759.5","1","1","2","1",NA,NA,NA,NA
"37","homophile","gay","86","gay.s.06","1950","adj","HW","homosexual or arousing homosexual desires","3","['gay', 'queer', 'homophile']","s","1","312219","336.5","7","2","3","1",NA,NA,NA,NA
"38","horrendous","awful","20","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","1124.5","2","1","2","1",NA,NA,NA,NA
"39","horrific","awful","21","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","1114.5","2","2","2","2",NA,NA,NA,NA
"40","jocund","gay","77","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","704","3","1","3","1",NA,NA,NA,NA
"41","jolly","gay","78","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","15865","3","4","3","1","1","0","0.391002218955771","-0.5"
"42","jovial","gay","79","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","2497.5","3","1","3","1","1","0","0.188120404374188","-0.7"
"43","merry","gay","80","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","63273.5","3","1","3","3","1","1","0.0373860734684987","-0.9"
"44","merry","gay","84","gay.s.05","1950","adj","HW","offering fun and gaiety","4","['gay', 'festal', 'festive', 'merry']","s","-1","312219","63273.5","6","2","3","3","1","1","0.0373860734684987","-0.9"
"45","mirthful","gay","81","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","406.5","3","1","3","2",NA,NA,NA,NA
"46","monitoring_device","monitor","97","monitor.n.04","1930","n","HW","display produced by a device that takes signals and displays them on a television screen or a computer monitor","2","['monitor', 'monitoring_device']","n","1","213880",NA,"4","1","4","1",NA,NA,NA,NA
"47","nasty","awful","26","nasty.a.01","1800","adj","HW","offensive or even of persons malicious","2","['nasty', 'awful']","a","1","93562.5","23142.5","3","1","2","2","1","0","0.325894941012842","0.327272727272727"
"48","overnice","nice","104","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","0","5","1","2","1",NA,NA,NA,NA
"49","painful","awful","8","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","155929.5","1","3","2","2","0","1","0.0026905894025606","-0.697058823529412"
"50","phone","call","45","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700","832648.5","16","4","20","2","1","1","0.00526569102916174","0.833333333333333"
"51","phonograph_record","record","110","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5",NA,"2","1","6","1",NA,NA,NA,NA
"52","phonograph_recording","record","111","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5",NA,"2","1","6","1",NA,NA,NA,NA
"53","platter","record","114","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","19260","2","2","6","2",NA,NA,NA,NA
"54","prissy","nice","105","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","360","5","2","2","2",NA,NA,NA,NA
"55","queer","gay","85","gay.s.06","1950","adj","HW","homosexual or arousing homosexual desires","3","['gay', 'queer', 'homophile']","s","1","312219","29400.5","7","5","3","1","1","1","0.0373860734684988","0.9"
"56","ring","call","46","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700","376603.5","16","13","20","7","1","1","0.000159971428068714","0.9"
"57","send","broadcast","28","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","922869","3","8","2","8",NA,NA,NA,NA
"58","skillful","nice","108","nice.s.03","1890","adj","HW","done with delicacy and skill","2","['nice', 'skillful']","s","-1","494997.5","8831.5","4","2","2","2",NA,NA,NA,NA
"59","squeamish","nice","106","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","1875","5","1","2","1",NA,NA,NA,NA
"60","sunny","gay","76","cheery.s.01","1950","adj","HW","bright and pleasant promoting a feeling of cheer","3","['cheery', 'gay', 'sunny']","s","-1","312219","38073.5","2","1","3","1","1","0","0.284756979865294","-0.6"
"61","telephone","call","43","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700","498816.5","16","3","20","1","1","1","0.0250966758822518","0.696969696969697"
"62","terrible","awful","9","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","237826.5","1","2","2","4","1","0","0.208499827982209","0.332352941176471"
"63","terrible","awful","22","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","237826.5","2","1","2","4","1","0","0.208499827982209","0.332352941176471"
"64","transmit","broadcast","30","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","82214","3","3","2","4",NA,NA,NA,NA
"65","unspeakable","awful","10","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","9580.5","1","2","2","3","0","0","0.759945300218093","-0.142857142857143"
