"","ref","target","X","synset","t","pos","prov","syn_def","synset_size","synset_words","wn_pos","gold","freq.x","freq.y","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"53","platter","record","114","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","19260","2","2","6","2",NA,NA,NA,NA
"54","prissy","nice","105","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","360","5","2","2","2",NA,NA,NA,NA
"55","queer","gay","85","gay.s.06","1950","adj","HW","homosexual or arousing homosexual desires","3","['gay', 'queer', 'homophile']","s","1","312219","29400.5","7","5","3","1","0","0","0.623837664781073","-0.3"
"56","ring","call","46","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700","376603.5","16","13","20","7","1","0","0.169732604926812","0.445454545454545"
"57","send","broadcast","28","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","922869","3","8","2","8","1","0","0.866526270675909","0.0714285714285714"
"58","skillful","nice","108","nice.s.03","1890","adj","HW","done with delicacy and skill","2","['nice', 'skillful']","s","-1","494997.5","8831.5","4","2","2","2","0","0","0.693238811728395","0.166666666666667"
"59","squeamish","nice","106","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","1875","5","1","2","1",NA,NA,NA,NA
"60","sunny","gay","76","cheery.s.01","1950","adj","HW","bright and pleasant promoting a feeling of cheer","3","['cheery', 'gay', 'sunny']","s","-1","312219","38073.5","2","1","3","1",NA,NA,NA,NA
"61","telephone","call","43","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700","498816.5","16","3","20","1","1","1","0.00311042831038585","0.8"
"62","terrible","awful","9","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","237826.5","1","2","2","4","1","0","0.680638146314187","0.104231166150671"
"63","terrible","awful","22","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","237826.5","2","1","2","4","1","0","0.680638146314187","0.104231166150671"
"64","transmit","broadcast","30","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","82214","3","3","2","4",NA,NA,NA,NA
"65","unspeakable","awful","10","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","9580.5","1","2","2","3","1","0","0.701657942516273","0.178571428571429"
