"","target","synset","t","correct_by_maxcorr","correct_by_minp","correct_by_majorityvote","correct_by_avg"
"epicyclic.a.01.epicyclical.1854.-1",epicyclical,epicyclic.a.01,1854,NA,NA,NA,NA
"callous.s.01.indurate.1854.-1",indurate,callous.s.01,1854,NA,NA,NA,NA
"acute.s.03.keen.1854.-1",keen,acute.s.03,1854,1,1,1,1
"meet.v.01.meet.1854.-1",meet,meet.v.01,1854,1,1,1,1
"meet.v.10.meet.1854.-1",meet,meet.v.10,1854,1,1,1,1
"meet.v.11.meet.1854.-1",meet,meet.v.11,1854,1,1,1,1
"shape.v.02.mould.1854.-1",mould,shape.v.02,1854,1,1,1,1
"prolong.v.01.protract.1854.-1",protract,prolong.v.01,1854,NA,NA,NA,NA
"gallant.s.03.proud.1854.-1",proud,gallant.s.03,1854,0,0,0,0
"run.v.03.run.1854.-1",run,run.v.03,1854,0,1,1,1
"run.v.06.run.1854.-1",run,run.v.06,1854,0,1,1,1
"skin.v.02.skin.1854.-1",skin,skin.v.02,1854,NA,NA,NA,NA
"digest.v.03.stomach.1854.-1",stomach,digest.v.03,1854,0,1,1,1
"technical.a.03.technological.1854.-1",technological,technical.a.03,1854,NA,NA,NA,NA
"undaunted.s.01.undismayed.1854.-1",undismayed,undaunted.s.01,1854,NA,NA,NA,NA
"undue.s.03.undue.1854.-1",undue,undue.s.03,1854,NA,NA,NA,NA
"lightless.s.02.unlit.1854.-1",unlit,lightless.s.02,1854,NA,NA,NA,NA
"despicable.s.01.unworthy.1854.-1",unworthy,despicable.s.01,1854,0,0,0,0
"applaud.v.01.acclaim.1856.-1",acclaim,applaud.v.01,1856,NA,NA,NA,NA
"acrimonious.s.01.acrimonious.1856.-1",acrimonious,acrimonious.s.01,1856,NA,NA,NA,NA
"adust.s.01.adust.1856.-1",adust,adust.s.01,1856,NA,NA,NA,NA
"barricade.v.03.barricado.1856.-1",barricado,barricade.v.03,1856,NA,NA,NA,NA
"comfort.v.01.comfort.1856.-1",comfort,comfort.v.01,1856,0,1,0,0
"coetaneous.s.01.contemporaneous.1856.-1",contemporaneous,coetaneous.s.01,1856,NA,NA,NA,NA
"invent.v.01.contrive.1856.-1",contrive,invent.v.01,1856,1,1,1,0
"plan.v.03.contrive.1856.-1",contrive,plan.v.03,1856,1,1,1,1
"test.v.01.essay.1856.-1",essay,test.v.01,1856,0,0,0,0
"try.v.01.essay.1856.-1",essay,try.v.01,1856,0,1,0,1
"complete.v.01.finish.1856.-1",finish,complete.v.01,1856,NA,NA,NA,NA
"frigid.s.03.frosty.1856.-1",frosty,frigid.s.03,1856,0,1,1,0
"equal.v.02.match.1856.-1",match,equal.v.02,1856,1,1,1,1
"equal.v.03.match.1856.-1",match,equal.v.03,1856,1,1,1,NA
"misbehave.v.01.misdemean.1856.-1",misdemean,misbehave.v.01,1856,NA,NA,NA,NA
"breed.v.04.multiply.1856.-1",multiply,breed.v.04,1856,NA,NA,NA,NA
"mumble.v.01.mutter.1856.-1",mutter,mumble.v.01,1856,NA,NA,NA,NA
"alone.s.03.only.1856.-1",only,alone.s.03,1856,NA,NA,NA,NA
"advance.v.01.progress.1856.-1",progress,advance.v.01,1856,1,1,1,NA
"progress.v.01.progress.1856.-1",progress,progress.v.01,1856,1,1,1,NA
"motivate.v.01.prompt.1856.-1",prompt,motivate.v.01,1856,1,1,1,NA
"prompt.v.02.prompt.1856.-1",prompt,prompt.v.02,1856,0,0,0,NA
"crop.v.05.range.1856.-1",range,crop.v.05,1856,1,1,1,1
"call_on_the_carpet.v.01.reprimand.1856.-1",reprimand,call_on_the_carpet.v.01,1856,NA,NA,NA,NA
"bounce.v.01.reverberate.1856.-1",reverberate,bounce.v.01,1856,NA,NA,NA,NA
"permeate.v.01.riddle.1856.-1",riddle,permeate.v.01,1856,1,1,1,NA
"stopper.v.01.stopple.1856.-1",stopple,stopper.v.01,1856,NA,NA,NA,NA
"try.v.07.strain.1856.-1",strain,try.v.07,1856,0,0,0,0
"subordinating.a.01.subordinative.1856.-1",subordinative,subordinating.a.01,1856,NA,NA,NA,NA
"calm.s.01.unagitated.1856.-1",unagitated,calm.s.01,1856,NA,NA,NA,NA
"prematurely.r.02.untimely.1856.-1",untimely,prematurely.r.02,1856,NA,NA,NA,NA
"last.s.07.utmost.1856.-1",utmost,last.s.07,1856,NA,NA,NA,NA
"talk.v.02.utter.1856.-1",utter,talk.v.02,1856,1,1,1,1
"ambidextrous.s.02.ambidextrous.1858.-1",ambidextrous,ambidextrous.s.02,1858,NA,NA,NA,NA
"anserine.s.02.anserine.1858.-1",anserine,anserine.s.02,1858,NA,NA,NA,NA
"bearded.s.01.barbate.1858.-1",barbate,bearded.s.01,1858,NA,NA,NA,NA
"happen.v.02.befall.1858.-1",befall,happen.v.02,1858,1,1,1,NA
"blustering.s.01.blustery.1858.-1",blustery,blustering.s.01,1858,NA,NA,NA,NA
"brumous.s.01.brumous.1858.-1",brumous,brumous.s.01,1858,NA,NA,NA,NA
"caducous.a.01.caducous.1858.-1",caducous,caducous.a.01,1858,NA,NA,NA,NA
"closely.r.03.closely.1858.-1",closely,closely.r.03,1858,0,1,0,0
"change.v.06.commute.1858.-1",commute,change.v.06,1858,NA,NA,NA,NA
"entrust.v.01.confide.1858.-1",confide,entrust.v.01,1858,0,1,0,0
"congruous.a.01.congruous.1858.-1",congruous,congruous.a.01,1858,NA,NA,NA,NA
"corrupt.v.01.deprave.1858.-1",deprave,corrupt.v.01,1858,NA,NA,NA,NA
"beneficent.s.02.eleemosynary.1858.-1",eleemosynary,beneficent.s.02,1858,NA,NA,NA,NA
"clean.s.11.fair.1858.-1",fair,clean.s.11,1858,NA,NA,NA,NA
"blameless.s.01.inculpable.1858.-1",inculpable,blameless.s.01,1858,NA,NA,NA,NA
"kick_back.v.02.kick.1858.-1",kick,kick_back.v.02,1858,NA,NA,NA,NA
"interlock.v.03.lock.1858.-1",lock,interlock.v.03,1858,NA,NA,NA,NA
"lock.v.04.lock.1858.-1",lock,lock.v.04,1858,NA,NA,NA,NA
"alone.s.02.lone.1858.-1",lone,alone.s.02,1858,0,1,1,0
"lone.s.02.lone.1858.-1",lone,lone.s.02,1858,0,1,0,0
"lone.s.03.lone.1858.-1",lone,lone.s.03,1858,0,0,0,0
"attend.v.02.look.1858.-1",look,attend.v.02,1858,0,1,0,1
"in-between.s.01.mediate.1858.-1",mediate,in-between.s.01,1858,NA,NA,NA,NA
"cloistered.s.01.monastical.1858.-1",monastical,cloistered.s.01,1858,NA,NA,NA,NA
"nameless.s.01.nameless.1858.-1",nameless,nameless.s.01,1858,1,1,1,NA
"predominate.v.01.predominate.1858.-1",predominate,predominate.v.01,1858,NA,NA,NA,NA
"tell.v.03.recount.1858.-1",recount,tell.v.03,1858,NA,NA,NA,NA
"crimson.s.02.red.1858.-1",red,crimson.s.02,1858,1,1,1,1
"retrograde.v.03.retrograde.1858.-1",retrograde,retrograde.v.03,1858,NA,NA,NA,NA
"fearful.s.05.trepid.1858.-1",trepid,fearful.s.05,1858,NA,NA,NA,NA
"anxious.s.02.uneasy.1858.-1",uneasy,anxious.s.02,1858,1,1,1,1
"unmanly.a.01.unmanful.1858.-1",unmanful,unmanly.a.01,1858,NA,NA,NA,NA
"affirmative.a.01.affirmatory.1860.-1",affirmatory,affirmative.a.01,1860,NA,NA,NA,NA
"apprenticed.s.01.articled.1860.-1",articled,apprenticed.s.01,1860,NA,NA,NA,NA
"automatic.s.02.automatic.1860.-1",automatic,automatic.s.02,1860,NA,NA,NA,NA
"avow.v.02.avouch.1860.-1",avouch,avow.v.02,1860,NA,NA,NA,NA
"expect.v.03.await.1860.-1",await,expect.v.03,1860,0,1,1,1
"peck.v.01.beak.1860.-1",beak,peck.v.01,1860,1,1,1,1
"speckle.v.02.bespeckle.1860.-1",bespeckle,speckle.v.02,1860,NA,NA,NA,NA
"widen.v.04.broaden.1860.-1",broaden,widen.v.04,1860,NA,NA,NA,NA
"rub.v.02.chafe.1860.-1",chafe,rub.v.02,1860,NA,NA,NA,NA
"changeable.s.04.chatoyant.1860.-1",chatoyant,changeable.s.04,1860,NA,NA,NA,NA
"peep.v.03.chirrup.1860.-1",chirrup,peep.v.03,1860,NA,NA,NA,NA
"distinctly.r.01.clearly.1860.-1",clearly,distinctly.r.01,1860,NA,NA,NA,NA
"cowardly.a.01.cowardly.1860.-1",cowardly,cowardly.a.01,1860,NA,NA,NA,NA
"curse.v.01.cuss.1860.-1",cuss,curse.v.01,1860,NA,NA,NA,NA
"dig.v.01.delve.1860.-1",delve,dig.v.01,1860,NA,NA,NA,NA
"vomit.v.01.disgorge.1860.-1",disgorge,vomit.v.01,1860,NA,NA,NA,NA
"cause.v.01.do.1860.-1",do,cause.v.01,1860,1,1,1,1
"do.v.08.do.1860.-1",do,do.v.08,1860,NA,NA,NA,NA
"make.v.01.do.1860.-1",do,make.v.01,1860,NA,NA,NA,NA
"fundamental.s.02.fundamental.1860.-1",fundamental,fundamental.s.02,1860,NA,NA,NA,NA
"lead.v.01.lead.1860.-1",lead,lead.v.01,1860,0,1,1,1
"do.v.11.manage.1860.-1",manage,do.v.11,1860,NA,NA,NA,NA
"better.v.02.meliorate.1860.-1",meliorate,better.v.02,1860,NA,NA,NA,NA
"better.v.03.meliorate.1860.-1",meliorate,better.v.03,1860,NA,NA,NA,NA
"melt.v.06.melt.1860.-1",melt,melt.v.06,1860,0,0,0,NA
"wail.v.02.mewl.1860.-1",mewl,wail.v.02,1860,NA,NA,NA,NA
"mumble.v.01.mumble.1860.-1",mumble,mumble.v.01,1860,NA,NA,NA,NA
"introductory.s.03.prefatory.1860.-1",prefatory,introductory.s.03,1860,NA,NA,NA,NA
"conserve.v.02.preserve.1860.-1",preserve,conserve.v.02,1860,0,0,0,NA
"quickly.r.01.quickly.1860.-1",quickly,quickly.r.01,1860,1,1,1,1
"everyday.s.01.quotidian.1860.-1",quotidian,everyday.s.01,1860,NA,NA,NA,NA
"reciprocal.a.01.reciprocal.1860.-1",reciprocal,reciprocal.a.01,1860,NA,NA,NA,NA
"note.v.01.remark.1860.-1",remark,note.v.01,1860,1,1,1,1
"rebuff.v.01.repel.1860.-1",repel,rebuff.v.01,1860,NA,NA,NA,NA
"repel.v.03.repel.1860.-1",repel,repel.v.03,1860,NA,NA,NA,NA
"cleave.v.01.rive.1860.-1",rive,cleave.v.01,1860,NA,NA,NA,NA
"scrawny.s.02.scrubby.1860.-1",scrubby,scrawny.s.02,1860,NA,NA,NA,NA
"single-minded.s.01.single-minded.1860.-1",single-minded,single-minded.s.01,1860,NA,NA,NA,NA
"squarely.r.05.squarely.1860.-1",squarely,squarely.r.05,1860,NA,NA,NA,NA
"upset.v.02.untune.1860.-1",untune,upset.v.02,1860,NA,NA,NA,NA
"erect.a.01.upright.1860.-1",upright,erect.a.01,1860,1,1,1,NA
"address.v.02.address.1862.-1",address,address.v.02,1862,NA,NA,NA,NA
"assumptive.s.01.assuming.1862.-1",assuming,assumptive.s.01,1862,NA,NA,NA,NA
"debar.v.02.avert.1862.-1",avert,debar.v.02,1862,NA,NA,NA,NA
"avow.v.02.avouch.1862.-1",avouch,avow.v.02,1862,NA,NA,NA,NA
"behave.v.02.bear.1862.-1",bear,behave.v.02,1862,1,1,1,1
"have_a_bun_in_the_oven.v.01.bear.1862.-1",bear,have_a_bun_in_the_oven.v.01,1862,1,1,1,1
"hold.v.11.bear.1862.-1",bear,hold.v.11,1862,1,1,1,1
"hold.v.14.bear.1862.-1",bear,hold.v.14,1862,1,1,1,1
"natural.s.09.born.1862.-1",born,natural.s.09,1862,0,0,0,NA
"pilfer.v.01.cabbage.1862.-1",cabbage,pilfer.v.01,1862,0,1,1,1
"chatter.v.04.clack.1862.-1",clack,chatter.v.04,1862,NA,NA,NA,NA
"tinkle.v.01.clink.1862.-1",clink,tinkle.v.01,1862,NA,NA,NA,NA
"coetaneous.s.01.coeval.1862.-1",coeval,coetaneous.s.01,1862,NA,NA,NA,NA
"concur.v.02.concur.1862.-1",concur,concur.v.02,1862,NA,NA,NA,NA
"congruous.a.01.congruous.1862.-1",congruous,congruous.a.01,1862,NA,NA,NA,NA
"raise.v.07.conjure.1862.-1",conjure,raise.v.07,1862,NA,NA,NA,NA
"adjacent.s.02.conterminous.1862.-1",conterminous,adjacent.s.02,1862,NA,NA,NA,NA
"conterminous.s.01.conterminous.1862.-1",conterminous,conterminous.s.01,1862,NA,NA,NA,NA
"contrarily.r.02.contrariwise.1862.-1",contrariwise,contrarily.r.02,1862,NA,NA,NA,NA
"perversely.r.02.contrariwise.1862.-1",contrariwise,perversely.r.02,1862,NA,NA,NA,NA
"brusque.s.01.curt.1862.-1",curt,brusque.s.01,1862,NA,NA,NA,NA
"take_down.v.02.demean.1862.-1",demean,take_down.v.02,1862,NA,NA,NA,NA
"depreciate.v.03.depreciate.1862.-1",depreciate,depreciate.v.03,1862,NA,NA,NA,NA
"fall.v.08.fall.1862.-1",fall,fall.v.08,1862,0,1,0,0
"induce.v.02.induce.1862.-1",induce,induce.v.02,1862,0,1,0,1
"decussate.s.01.intersectant.1862.-1",intersectant,decussate.s.01,1862,NA,NA,NA,NA
"alone.s.02.lonely.1862.-1",lonely,alone.s.02,1862,0,1,1,0
"lone.s.02.lonely.1862.-1",lonely,lone.s.02,1862,1,1,1,1
"lonely.s.04.lonely.1862.-1",lonely,lonely.s.04,1862,1,1,1,NA
"derisively.r.01.mockingly.1862.-1",mockingly,derisively.r.01,1862,NA,NA,NA,NA
"fill.v.04.occupy.1862.-1",occupy,fill.v.04,1862,1,1,1,1
"take.v.02.occupy.1862.-1",occupy,take.v.02,1862,1,1,1,NA
"permeate.v.01.permeate.1862.-1",permeate,permeate.v.01,1862,NA,NA,NA,NA
"tug.v.02.push.1862.-1",push,tug.v.02,1862,1,1,1,0
"devilish.s.02.rascally.1862.-1",rascally,devilish.s.02,1862,NA,NA,NA,NA
"rascally.s.02.rascally.1862.-1",rascally,rascally.s.02,1862,NA,NA,NA,NA
"remember.v.01.recollect.1862.-1",recollect,remember.v.01,1862,0,1,1,1
"imperial.s.04.regal.1862.-1",regal,imperial.s.04,1862,NA,NA,NA,NA
"careless.s.03.regardless.1862.-1",regardless,careless.s.03,1862,NA,NA,NA,NA
"repellently.r.01.repellingly.1862.-1",repellingly,repellently.r.01,1862,NA,NA,NA,NA
"full.s.04.replete.1862.-1",replete,full.s.04,1862,NA,NA,NA,NA
"withdraw.v.01.retreat.1862.-1",retreat,withdraw.v.01,1862,0,1,0,1
"rend.v.01.rive.1862.-1",rive,rend.v.01,1862,NA,NA,NA,NA
"distinguish.v.01.severalize.1862.-1",severalize,distinguish.v.01,1862,NA,NA,NA,NA
"submit.v.01.submit.1862.-1",submit,submit.v.01,1862,NA,NA,NA,NA
"tittup.v.01.tittup.1862.-1",tittup,tittup.v.01,1862,NA,NA,NA,NA
"unload.v.02.unlade.1862.-1",unlade,unload.v.02,1862,NA,NA,NA,NA
"unfashionable.a.01.unstylish.1862.-1",unstylish,unfashionable.a.01,1862,NA,NA,NA,NA
"anticipate.v.02.anticipate.1864.-1",anticipate,anticipate.v.02,1864,1,1,1,1
"papal.a.01.apostolical.1864.-1",apostolical,papal.a.01,1864,NA,NA,NA,NA
"measure.v.04.appraise.1864.-1",appraise,measure.v.04,1864,NA,NA,NA,NA
"begrimed.s.01.begrimed.1864.-1",begrimed,begrimed.s.01,1864,NA,NA,NA,NA
"chant.v.01.cantillate.1864.-1",cantillate,chant.v.01,1864,NA,NA,NA,NA
"peep.v.03.chirrup.1864.-1",chirrup,peep.v.03,1864,NA,NA,NA,NA
"coerce.v.01.coerce.1864.-1",coerce,coerce.v.01,1864,NA,NA,NA,NA
"attendant.s.02.concomitant.1864.-1",concomitant,attendant.s.02,1864,NA,NA,NA,NA
"conserve.v.02.conserve.1864.-1",conserve,conserve.v.02,1864,NA,NA,NA,NA
"restrain.v.04.cumber.1864.-1",cumber,restrain.v.04,1864,NA,NA,NA,NA
"cuspate.s.01.cuspated.1864.-1",cuspated,cuspate.s.01,1864,NA,NA,NA,NA
"dazzle.v.01.daze.1864.-1",daze,dazzle.v.01,1864,NA,NA,NA,NA
"concenter.v.01.focalize.1864.-1",focalize,concenter.v.01,1864,NA,NA,NA,NA
"focus.v.04.focalize.1864.-1",focalize,focus.v.04,1864,NA,NA,NA,NA
"focus.v.05.focalize.1864.-1",focalize,focus.v.05,1864,NA,NA,NA,NA
"ephemeral.s.01.fugacious.1864.-1",fugacious,ephemeral.s.01,1864,NA,NA,NA,NA
"fleeting.s.01.fugitive.1864.-1",fugitive,fleeting.s.01,1864,0,0,0,0
"concern.v.02.interest.1864.-1",interest,concern.v.02,1864,0,0,0,1
"load.v.01.lade.1864.-1",lade,load.v.01,1864,NA,NA,NA,NA
"confining.s.01.limiting.1864.-1",limiting,confining.s.01,1864,NA,NA,NA,NA
"locate.v.03.locate.1864.-1",locate,locate.v.03,1864,0,0,0,0
"loosen.v.01.loose.1864.-1",loose,loosen.v.01,1864,NA,NA,NA,NA
"loosen.v.07.loose.1864.-1",loose,loosen.v.07,1864,1,1,1,NA
"magnetize.v.02.magnetize.1864.-1",magnetize,magnetize.v.02,1864,NA,NA,NA,NA
"cynical.s.01.misanthropical.1864.-1",misanthropical,cynical.s.01,1864,NA,NA,NA,NA
"misanthropic.s.02.misanthropical.1864.-1",misanthropical,misanthropic.s.02,1864,NA,NA,NA,NA
"dirty.s.06.muddied.1864.-1",muddied,dirty.s.06,1864,NA,NA,NA,NA
"overriding.s.01.predominate.1864.-1",predominate,overriding.s.01,1864,NA,NA,NA,NA
"punitively.r.01.punitively.1864.-1",punitively,punitively.r.01,1864,NA,NA,NA,NA
"queerly.r.01.queerly.1864.-1",queerly,queerly.r.01,1864,NA,NA,NA,NA
"glow.v.02.radiate.1864.-1",radiate,glow.v.02,1864,NA,NA,NA,NA
"glow.v.05.radiate.1864.-1",radiate,glow.v.05,1864,NA,NA,NA,NA
"switch.v.03.shift.1864.-1",shift,switch.v.03,1864,0,0,0,0
"hiss.v.01.sibilate.1864.-1",sibilate,hiss.v.01,1864,NA,NA,NA,NA
"hiss.v.03.sibilate.1864.-1",sibilate,hiss.v.03,1864,NA,NA,NA,NA
"sisterly.a.01.sisterlike.1864.-1",sisterlike,sisterly.a.01,1864,NA,NA,NA,NA
"think.v.02.think.1864.-1",think,think.v.02,1864,1,1,1,1
"pinch.v.01.twitch.1864.-1",twitch,pinch.v.01,1864,1,1,1,1
"inconvertible.a.01.unconvertible.1864.-1",unconvertible,inconvertible.a.01,1864,NA,NA,NA,NA
"sterile.a.01.unfertile.1864.-1",unfertile,sterile.a.01,1864,NA,NA,NA,NA
"wild.a.02.untamed.1864.-1",untamed,wild.a.02,1864,NA,NA,NA,NA
"aghast.s.01.appalled.1866.-1",appalled,aghast.s.01,1866,0,0,0,0
"brandish.v.01.brandish.1866.-1",brandish,brandish.v.01,1866,NA,NA,NA,NA
"chartaceous.a.01.chartaceous.1866.-1",chartaceous,chartaceous.a.01,1866,NA,NA,NA,NA
"harmonize.v.06.chord.1866.-1",chord,harmonize.v.06,1866,NA,NA,NA,NA
"conic.a.01.cone-shaped.1866.-1",cone-shaped,conic.a.01,1866,NA,NA,NA,NA
"true.r.01.confessedly.1866.-1",confessedly,true.r.01,1866,NA,NA,NA,NA
"conic.a.01.conic.1866.-1",conic,conic.a.01,1866,NA,NA,NA,NA
"crawl.v.01.crawl.1866.-1",crawl,crawl.v.01,1866,NA,NA,NA,NA
"fawn.v.01.crawl.1866.-1",crawl,fawn.v.01,1866,1,1,1,NA
"squash.v.01.crush.1866.-1",crush,squash.v.01,1866,1,1,1,NA
"effeminate.s.01.emasculate.1866.-1",emasculate,effeminate.s.01,1866,NA,NA,NA,NA
"exhale.v.01.expire.1866.-1",expire,exhale.v.01,1866,NA,NA,NA,NA
"gynandromorphic.s.01.gynandromorphous.1866.-1",gynandromorphous,gynandromorphic.s.01,1866,NA,NA,NA,NA
"chant.v.01.intone.1866.-1",intone,chant.v.01,1866,NA,NA,NA,NA
"intonate.v.01.intone.1866.-1",intone,intonate.v.01,1866,NA,NA,NA,NA
"loosen.v.01.loose.1866.-1",loose,loosen.v.01,1866,NA,NA,NA,NA
"loosen.v.07.loose.1866.-1",loose,loosen.v.07,1866,1,1,1,NA
"accursed.s.01.maledict.1866.-1",maledict,accursed.s.01,1866,NA,NA,NA,NA
"overladen.s.01.overladen.1866.-1",overladen,overladen.s.01,1866,NA,NA,NA,NA
